Time, ECG, PPG
0.12,0.0,0.0
0.13,7854.0,38860.0
0.13,7854.0,38860.0
0.13,7854.0,38860.0
0.14,9147.0,60685.0
0.14,9147.0,60685.0
0.15,9147.0,60685.0
0.15,9147.0,60685.0
0.16,9290.0,60650.0
0.16,9290.0,60650.0
0.17,9290.0,60650.0
0.17,9290.0,60650.0
0.18,9226.0,60626.0
0.18,9226.0,60626.0
0.19,9226.0,60626.0
0.19,9226.0,60626.0
0.2,9492.0,60637.0
0.2,9492.0,60637.0
0.21,9492.0,60637.0
0.21,9492.0,60637.0
0.22,9586.0,60635.0
0.22,9586.0,60635.0
0.23,9586.0,60635.0
0.23,9586.0,60635.0
0.24,9543.0,60639.0
0.24,9543.0,60639.0
0.25,9543.0,60639.0
0.25,9543.0,60639.0
0.26,9540.0,60655.0
0.26,9540.0,60655.0
0.27,9540.0,60655.0
0.27,9540.0,60655.0
0.28,9706.0,60658.0
0.28,9706.0,60658.0
0.29,9706.0,60658.0
0.29,9706.0,60658.0
0.3,9686.0,60660.0
0.3,9686.0,60660.0
0.31,9686.0,60660.0
0.31,9686.0,60660.0
0.32,9858.0,60665.0
0.32,9858.0,60665.0
0.33,9858.0,60665.0
0.33,9858.0,60665.0
0.34,9935.0,60645.0
0.34,9935.0,60645.0
0.35,9935.0,60645.0
0.35,9935.0,60645.0
0.36,9988.0,60653.0
0.36,9988.0,60653.0
0.37,9988.0,60653.0
0.37,9988.0,60653.0
0.38,9910.0,60640.0
0.38,9910.0,60640.0
0.39,9910.0,60640.0
0.39,9910.0,60640.0
0.4,9958.0,60641.0
0.4,9958.0,60641.0
0.41,9958.0,60641.0
0.41,9958.0,60641.0
0.42,9991.0,60630.0
0.42,9991.0,60630.0
0.43,9991.0,60630.0
0.43,9991.0,60630.0
0.44,9995.0,60612.0
0.44,9995.0,60612.0
0.45,9995.0,60612.0
0.45,9995.0,60612.0
0.46,10044.0,60633.0
0.46,10044.0,60633.0
0.47,10044.0,60633.0
0.47,10044.0,60633.0
0.48,10134.0,60640.0
0.48,10134.0,60640.0
0.49,10134.0,60640.0
0.49,10134.0,60640.0
0.5,10216.0,60634.0
0.5,10216.0,60634.0
0.51,10216.0,60634.0
0.51,10216.0,60634.0
0.52,10223.0,60642.0
0.52,10223.0,60642.0
0.53,10223.0,60642.0
0.53,10223.0,60642.0
0.54,10192.0,60658.0
0.54,10192.0,60658.0
0.55,10192.0,60658.0
0.55,10192.0,60658.0
0.56,10249.0,60678.0
0.56,10249.0,60678.0
0.57,10249.0,60678.0
0.57,10249.0,60678.0
0.58,10295.0,60672.0
0.58,10295.0,60672.0
0.59,10295.0,60672.0
0.59,10295.0,60672.0
0.6,10273.0,60681.0
0.6,10273.0,60681.0
0.61,10273.0,60681.0
0.61,10273.0,60681.0
0.62,10248.0,60691.0
0.62,10248.0,60691.0
0.63,10248.0,60691.0
0.63,10248.0,60691.0
0.64,10427.0,60693.0
0.64,10427.0,60693.0
0.65,10427.0,60693.0
0.65,10427.0,60693.0
0.66,10278.0,60698.0
0.66,10278.0,60698.0
0.67,10278.0,60698.0
0.67,10278.0,60698.0
0.68,10227.0,60710.0
0.68,10227.0,60710.0
0.69,10227.0,60710.0
0.69,10227.0,60710.0
0.7,10360.0,60723.0
0.7,10360.0,60723.0
0.71,10360.0,60723.0
0.71,10360.0,60723.0
0.72,10418.0,60722.0
0.72,10418.0,60722.0
0.73,10418.0,60722.0
0.73,10418.0,60722.0
0.74,10417.0,60733.0
0.74,10417.0,60733.0
0.75,10417.0,60733.0
0.75,10417.0,60733.0
0.76,10509.0,60738.0
0.76,10509.0,60738.0
0.77,10509.0,60738.0
0.77,10509.0,60738.0
0.78,10348.0,60737.0
0.78,10348.0,60737.0
0.79,10348.0,60737.0
0.79,10348.0,60737.0
0.8,10318.0,60733.0
0.8,10318.0,60733.0
0.81,10318.0,60733.0
0.81,10318.0,60733.0
0.82,10361.0,60746.0
0.82,10361.0,60746.0
0.83,10361.0,60746.0
0.83,10361.0,60746.0
0.84,10573.0,60762.0
0.84,10573.0,60762.0
0.85,10573.0,60762.0
0.85,10573.0,60762.0
